"id","l3","rooms","bathrooms","surface_total","surface_covered","price","property_type"
"P9DPzwb1HdhVmTWYrYgpng==","Caballito",3,1,100,91,180000,"Departamento"
"8AFft8g8czHQDo+fACC72g==","Caballito",3,1,50,49,150000,"Departamento"
"iyxBQuGbouDG88fKUrIhMg==","Caballito",3,1,53,53,128000,"Departamento"
"kilw8xF0bImT21KR5PzBeQ==","San Telmo",3,1,67,56,150000,"Departamento"
"pqE1IQmRV8By+htaLzU1og==","Colegiales",3,2,70,56,185000,"Departamento"
"emLu0SjadfNOrKknljuOZA==","Las Cañitas",3,4,113,103,439000,"Departamento"
"0E/k7zoMi5m+yPIZ2hJNew==","Villa Crespo",3,1,58,56,128000,"Departamento"
"pEKq0Ey8dHTLh7SbQrW+xA==","Villa Crespo",3,1,70,70,125000,"Departamento"
"eg2hzsZH+m7pePERoR1dGA==","Parque Chacabuco",2,1,45,38,101000,"Departamento"
"W4AEUZOijbFAE+cirhZtrg==","Villa Santa Rita",3,1,97,72,225000,"Departamento"
"5hddYN+OjnnNt8NW1ShpRg==","Centro / Microcentro",3,1,52,47,92000,"Departamento"
"EF0Ma+vfFIRaeOYaeHGGdA==","Flores",4,1,150,112,245000,"PH"
"lC5YlQ8awXMqCd5iEYCtrA==","Villa Ortuzar",4,1,80,74,2e+05,"PH"
"4I7PFymizibjGjlz8GESiA==","Villa del Parque",4,3,184,178,385000,"Casa"
"Mm4VJXuf9oB3J9xLnWHe/w==","Retiro",5,3,133,133,370000,"Departamento"
"gy4KGUjAF1ZHNsMHmvMYYQ==","Almagro",4,3,108,96,270000,"Departamento"
"nTyHX8QuI2nNAmOzi5Qhuw==","Almagro",4,2,91,87,220000,"Departamento"
"SI4OG8jqovUF1kPj7ie5gg==","Almagro",4,1,77,72,189000,"Departamento"
"US4sCtMeU3+vP23A00oi7g==","Palermo",5,2,190,129,350000,"Departamento"
"yDb7SiK2PKj+/kiIX7E62w==","Palermo",4,2,77,70,239000,"Departamento"
"kAn/UU0+Ywjq80HElPPeZw==","Palermo",4,1,85,85,260000,"Departamento"
"/LRIWqkjQPtoNb7waL3y3w==","Palermo",4,2,100,100,252000,"Departamento"
"LvCxBOu6fuJOV/WHMawhhg==","Belgrano",4,1,91,81,290000,"Departamento"
"vSdsEn+eQNDIW3bIrS/a7g==","Belgrano",4,3,180,171,790000,"Departamento"
"akE524gsiVhP6Y2yte0kkA==","Recoleta",4,2,85,76,280000,"Departamento"
"ayfP2xXK16uJnjT6jj9G/A==","Saavedra",4,2,94,94,195000,"Departamento"
"mrdu4ppnqT6dtJMNruJaHA==","Caballito",4,2,128,120,613567,"Departamento"
"Iyw1yRfnXKkCDn7QDjKZsA==","San Telmo",4,2,127,127,310000,"Departamento"
"BJXzcMZmbVNPbzLQ6psvMg==","San Telmo",7,2,277,234,595000,"Departamento"
"7wyCQWiivFQWo5YVQlLkDg==","Barrio Norte",4,1,78,75,215000,"Departamento"
"xfjUuizB1jScS5YyZ83xsA==","Parque Centenario",4,2,111,95,210000,"Departamento"
"3XDUvSHzhQwRuOLGpWI5AQ==","Belgrano",5,3,170,170,580000,"Departamento"
"kjWY/MixDYny1oilKgdN6Q==","Villa Crespo",5,2,202,123,224000,"Departamento"
"vfyJEJhVaxvt9srobcD6Pg==","Almagro",1,1,40,40,110000,"Casa"
"6ZCiYfeTY5RY0ASjomnVAg==","Chacarita",3,1,76,70,199000,"Casa"
"1uQqKny2FO9XCa8t6Ec/hQ==","Villa Devoto",3,2,125,80,249000,"Casa"
"giQOFfq74IRDkfwysDAn8g==","Villa Pueyrredón",1,1,59,50,147000,"Casa"
"+CvATQez2gmNzPxDT+rptw==","Boedo",1,1,42,40,99500,"Departamento"
"eznF5Ctlmgalpmf8CPKIIw==","Abasto",1,1,43,39,94000,"Departamento"
"L5ErxaPL6Sqyz5H3MrQNcg==","Flores",2,2,120,75,252000,"Departamento"
"+mf6G/tZcOk0cKNSYaKsqg==","Palermo",1,1,56,50,165000,"Departamento"
"Y067MI1J8llh+BrQzid4aQ==","Palermo",5,3,220,220,795000,"Departamento"
"hBkD6WVDZmY7oNpE8Mp4Ag==","Palermo",2,2,100,95,325000,"Departamento"
"/+e/F67MwRc9IDK+z7pAJg==","Palermo",3,1,65,65,182000,"Departamento"
"jRqtss0SSzXUfATiTFytzw==","Palermo",3,1,62,58,183000,"Departamento"
"OFIU52oKHxR8Jj+V3YPGfw==","Palermo",5,4,240,240,770000,"Departamento"
"WIAeCvC1xsLcjzzuRqlCHQ==","Palermo",1,1,35,35,175000,"Departamento"
"JibPx2uRp9gmZlVQcOhbeQ==","Palermo",3,1,70,70,220000,"Departamento"
"IpDB9XfZMvAbazOPu5CDCA==","Palermo",1,1,40,35,100700,"Departamento"
"3VXt2F697vipsxB8cBHE2Q==","Belgrano",3,1,81,77,310000,"Departamento"
"k5vLoPe2rmEYz2sGYlPwdA==","Belgrano",2,2,63,59,190000,"Departamento"
"nfqsrPeaPDymf7Ux58j16g==","Belgrano",3,2,160,148,485000,"Departamento"
"p/MUg9DruIYbiEOJnmwOWg==","Belgrano",4,2,178,170,780000,"Departamento"
"t+bCU9zEUbMT/ADZyKsamA==","Recoleta",3,1,68,68,185000,"Departamento"
"rQQ0dFlJ0J8vjndTX5OzeQ==","Recoleta",2,1,58,53,209000,"Departamento"
"WSoO5y/gb912ukPflsbW9w==","Recoleta",2,1,43,41,165000,"Departamento"
"wlvX4gqurlx6K8Xx9dx6gw==","Recoleta",4,1,94,80,250000,"Departamento"
"3IeUBRRP2yRjogp+sqj29w==","Recoleta",4,1,115,95,350000,"Departamento"
"iiW/wtYazdDUhvoPdsM7CA==","Caballito",1,1,38,34,106000,"Departamento"
"2z4WpsAu2cxXbeajlHJ74Q==","Caballito",3,1,66,57,142000,"Departamento"
"z1GCWKVtWaI9bik28JCHsQ==","Caballito",3,1,67,60,235000,"Departamento"
"7QFx9PEgdWfVkuB8+lH+jw==","Caballito",4,2,128,91,510000,"Departamento"
"rf54nedrKz+ok4eL0b5yRA==","Caballito",1,1,37,34,102000,"Departamento"
"5BGsPBDVDEDTibj4GddKaQ==","Caballito",1,1,38,34,101000,"Departamento"
"H8dRs+0/7qZcSeVas0OYfw==","Caballito",2,1,50,47,135000,"Departamento"
"zH1YHi8a0N/1sPZzBiSVkA==","Caballito",1,1,38,34,105000,"Departamento"
"LX3bRremgKlje75UBCWlfA==","Caballito",1,1,56,52,139000,"Departamento"
"pzcY7SSv4gOTx1/6YO3E3g==","Caballito",1,1,37,34,103000,"Departamento"
"q2LtaN+h3HB5C+Ml5eEJZg==","Caballito",3,3,103,103,270000,"Departamento"
"FDpOdyVlxFKO4Hz8sGyPQQ==","Caballito",1,1,37,34,101000,"Departamento"
"TCF6WvBQHuhWiVG95fCRRQ==","Caballito",1,1,37,34,98500,"Departamento"
"VMmu9ekhBqDcpsW1wPXxyw==","Caballito",1,1,38,34,104000,"Departamento"
"2whKCwXDu4xy+7SNO+p6Cg==","San Telmo",1,1,36,32,75000,"Departamento"
"lE1mfgO3M+DBA3rGrVpF6w==","Colegiales",3,2,76,66,305000,"Departamento"
"TvuNpFgOROhDQdx/KFf6CQ==","Barrio Norte",1,1,34,29,120000,"Departamento"
"HKeeRFHtK+uJfJXdzXpVCg==","Villa Crespo",4,2,75,72,215000,"Departamento"
"97v06rKB3ufOuwZs4YrzGQ==","Puerto Madero",3,2,110,105,720000,"Departamento"
"CJiXhQP9o+hWUpOglOGO2w==","San Cristobal",2,1,87,85,155000,"Departamento"
"sesNXkMpBbTYqw/LIySNfg==","San Cristobal",4,1,72,62,150000,"Departamento"
"kdzbXfFmKpe1lCDVBfTSbA==","San Cristobal",1,1,53,47,150000,"Departamento"
"/Opcu9YM4V1gQ6cTp2mvfw==","Villa Urquiza",1,1,33,30,120000,"Departamento"
"BBnt8pHvOCa++YksRgY/jQ==","Villa Urquiza",3,2,120,90,280000,"Departamento"
"jgoq+EqxdYmNkfO9rn7Odg==","Flores",1,1,35,31,74000,"Departamento"
"2xRH47hKKSjHMMvnMqgHmg==","Villa Crespo",2,1,49,49,104000,"PH"
"17rhd4a0bOS3lDVR3yBOSA==","Flores",2,1,48,45,109000,"Departamento"
"nXCRqXuTxQJ8ApMO5dFRuw==","Nuñez",2,1,35,35,105000,"Departamento"
"dP8gjSyrEo5k00yOBmM1eg==","Nuñez",1,1,32,29,135000,"Departamento"
"dSkOecb92ISpub7sek1yiA==","Nuñez",2,1,34,34,110000,"Departamento"
"29MIx5WkY8KoMM7T8oUZkg==","Almagro",2,1,50,45,145000,"Departamento"
"HS78dfgGk8L6HyMuXeM+MA==","Almagro",3,2,62,58,230000,"Departamento"
"S/khi0SYv9eK6/Rn6KX2kQ==","Almagro",2,1,69,65,155000,"Departamento"
"4pqVyoNOoAz3DOOfkOAADw==","Almagro",2,1,56,50,143000,"Departamento"
"VNITSUSXgO284N9WCTBbCw==","Liniers",2,1,49,43,116000,"Departamento"
"ihsGBIy01o+xcCEIPE7ojQ==","Palermo",2,1,112,56,204000,"Departamento"
"wap+6uezHZ+84iZliHsV/w==","Palermo",1,1,35,31,185000,"Departamento"
"6N84mNAdCg2NGoD8vSEluQ==","Palermo",1,1,37,33,165000,"Departamento"
"hDxdvGzzgr84spkOPFNdcQ==","Palermo",2,2,48,40,193000,"Departamento"
"VCOTsuUxRVvhFzwd9orQWA==","Palermo",1,1,34,33,155000,"Departamento"
"Os8pCR4sWyXfcQbh9nLBaw==","Palermo",2,2,48,40,193000,"Departamento"
"doopoyoRvUDtjxB1GVCHRQ==","Palermo",2,1,67,40,145000,"Departamento"
"18OxBNUjCTfJRVnWlW+qAw==","Palermo",2,1,65,37,165000,"Departamento"
"5elFCsEt9aRaWNqEO8NwTQ==","Palermo",2,1,39,39,115000,"Departamento"
"njDvhaeyqiLNqofC0Ss89w==","Palermo",1,1,42,39,175000,"Departamento"
"ZjV8GRDKk8l9Xpn1scH2jQ==","Barracas",2,1,40,40,1e+05,"Departamento"
"Ich08orYmQaCKbFjjo5c8w==","Belgrano",2,2,66,50,239800,"Departamento"
"dZkxDGs1T0fUubSBe5O4EA==","Belgrano",1,1,40,38,150000,"Departamento"
"wW3AsOwatwlaLhum6KoDhQ==","Recoleta",2,1,35,35,150000,"Departamento"
"3+BoAav2tK8q2Iuqs9HSbQ==","Recoleta",2,2,52,46,205000,"Departamento"
"Mu1IUx8AVVEaT5K2OQU2AQ==","Recoleta",2,1,38,38,138000,"Departamento"
"aRQJVUzZmTnR8iywyZNL/g==","Recoleta",1,1,32,32,145000,"Departamento"
"2HqulbyIiL3djE5B3y+AJg==","Recoleta",2,1,34,34,112000,"Departamento"
"0XDy2YAKp6hyfubBqOwKOg==","Recoleta",1,1,42,40,155000,"Departamento"
"526m0EijVR8DSscOOdmymw==","Recoleta",2,2,95,65,360000,"Departamento"
"P35v9YEToh9sNNG3dAVMKg==","Balvanera",2,1,63,48,135000,"Departamento"
"k9Rtis0LMsDr4hfwiMWeGw==","Caballito",2,1,48,48,124000,"Departamento"
"ORZDjLpQQFieBbqqrwfPKw==","San Telmo",2,1,48,48,99000,"Departamento"
"mS6Y+Ogu2b3vuebgbflFrA==","Colegiales",2,1,41,38,140000,"Departamento"
"orRInOOuYTwAor+LL/zs7Q==","Barrio Norte",2,1,50,44,183000,"Departamento"
"Xy6dbZg5mBMcTwA9fNQcoQ==","Las Cañitas",2,1,48,48,140000,"Departamento"
"y7TEdb/YgXX0Ngy08VWQzA==","Villa Crespo",2,2,63,60,170000,"Departamento"
"UEQtPpYVn9prFNUN5Win5g==","Villa Crespo",2,1,53,43,125000,"Departamento"
"A289C3hUG8hrkb06ptz+Lg==","Villa Crespo",2,1,38,35,84102,"Departamento"
"vnJnVcUfilz7ULvyP/XK/Q==","Villa Crespo",2,1,62,48,110000,"Departamento"
"ehztWkUgySvEV9IEGd0lVg==","Villa Crespo",2,1,37,37,85000,"Departamento"
"X0w8V9U9h1ay0rn5u5CQnQ==","Villa Urquiza",2,1,35,35,107000,"Departamento"
"hUKNxmlhSkpGYrQqqzrVwg==","Villa Urquiza",2,1,69,57,139000,"Departamento"
"eRbw1d8Z3bCGLepvOlModQ==","Velez Sarsfield",1,1,44,40,85000,"Departamento"
"+ow6GUOh96YM3PE+wXI3og==","Villa del Parque",2,1,45,40,127000,"Departamento"
"2y83myjVJV3+ct67nfskXg==","Parque Centenario",2,1,56,50,143000,"Departamento"
"nQgXlgI8vz0vA2RgwMI8gg==","Villa Crespo",3,2,200,150,580000,"PH"
"hAuerRjnY3Gy6ujUsxkOgA==","Once",3,2,125,84,230000,"Departamento"
"mVC0DvA66gRctChq/nJjTA==","Boedo",3,1,81,65,111000,"Departamento"
"JI7seemMdH8kbdWHBcevwQ==","Flores",3,2,74,66,189000,"Departamento"
"bBq5vVB7lImFxZHXeHgpBQ==","Almagro",3,2,96,89,195000,"Departamento"
"bcFbmlKOTZ1hlfaCyY1Cdw==","Almagro",3,2,87,77,173000,"Departamento"
"lOdlBMOwCrGgrAOe2n3tpw==","Almagro",3,2,90,83,290000,"Departamento"
"Y8Fzmoarofi/Z6STliLg5g==","Almagro",3,1,55,45,120000,"Departamento"
"wAMxwUpvHuKeoi6vcKsXoA==","Almagro",3,2,65,60,217000,"Departamento"
"bk8hsRlT3UHApYf54eTaLQ==","Almagro",3,3,85,57,185000,"Departamento"
"EZ1yKJ2gCrXiwA8iGouAjg==","Almagro",3,1,45,35,105000,"Departamento"
"SMzIcffhwjIgx+iBNh8BsA==","Palermo",3,1,63,58,290000,"Departamento"
"scHaxuFWxerU37P3yZrinA==","Palermo",3,1,48,48,152000,"Departamento"
"DxEMcKUzcsdlSlhdOxN9kQ==","Palermo",3,1,80,75,149000,"Departamento"
"vZk3+pjMswf8ShrmvnSY5w==","Palermo",3,1,69,59,285000,"Departamento"
"L8zCMu6AhBo9fuoU3ocOlQ==","Palermo",3,2,92,90,286000,"Departamento"
"3CnQJXa1MURwyjdD8DSQTg==","Palermo",3,1,48,48,152000,"Departamento"
"vaDwSm2zmMy0SP65/+FBQQ==","Belgrano",3,1,71,61,175000,"Departamento"
"bpEDvtbqMTUAUaCliH5rRA==","Belgrano",3,2,89,89,340000,"Departamento"
"H6cVx5huBgeZApIzYUiTJA==","Belgrano",3,2,78,78,245000,"Departamento"
"jZYorw7qh6VuLfrR/n8VZg==","Belgrano",3,3,140,140,470000,"Departamento"
"b9BQ+BGd8/7eVh63xQtgTg==","Recoleta",3,1,70,65,275000,"Departamento"
"iieH1WQx9mNah/aYZxqH3Q==","Recoleta",3,2,66,66,205000,"Departamento"
"uBFNFSaXFIDd1vbjJahqTw==","Caballito",3,2,89,77,206700,"Departamento"
"W61mnBad6LRbjBk/fSx6TA==","Caballito",3,2,83,83,195000,"Departamento"
"gBowaY4a+dAGa/BbYHDBbA==","Colegiales",3,2,94,85,340000,"Departamento"
"X9eKDnDm4L0RvF6v/fP7gw==","Parque Chas",3,2,82,70,175000,"Departamento"
"phrq/tuXSqS0DZDyqBdTzA==","Barrio Norte",4,2,78,78,185000,"Departamento"
"wSSOoXepHoGqOGN9NoryQg==","Las Cañitas",3,3,143,120,490000,"Departamento"
"5/mPEj2Aefxh1gI+CJlupA==","Villa Crespo",3,2,63,60,170000,"Departamento"
"6qjp9QWHHR9MCwj4SWiP0Q==","Villa Crespo",3,1,75,55,149000,"Departamento"
"bTXRsdEQpOPViIAOjw9yMA==","Villa Crespo",3,1,75,55,149000,"Departamento"
"OX9HCUxCvbzMWn/sI9XUtQ==","San Cristobal",3,1,60,60,115000,"Departamento"
"Hgze/syWFPUPc0DFny8rgg==","Villa Urquiza",3,2,80,75,268000,"Departamento"
"NTqAmFDn31+l3s+JDt++ng==","Parque Centenario",3,1,69,63,155000,"Departamento"
"LjXSHdFmw8OEHF5Cor2Lpw==","Almagro",4,2,102,102,255000,"PH"
"VdwizsyEWXs4aooDgDvhMQ==","Barracas",4,1,165,77,158000,"PH"
"jLv0p9T3LZv2miqSv0Kw8A==","Floresta",4,3,166,133,295000,"PH"
"Y6IiDUEufbGdAhoNx/RZ0w==","Palermo",4,4,185,185,850000,"Departamento"
"E+JlA760LlAXnkcfc7Xa2Q==","Palermo",4,2,160,160,440000,"Departamento"
"Ux7XmX/gOmu5aRLH9VHAng==","Palermo",4,3,150,130,385000,"Departamento"
"Tmlm++JbN5znoSa4skeyBQ==","Palermo",4,2,126,115,450000,"Departamento"
"6LWyCHdYRSUB9aoBKqcXGw==","Palermo",4,2,99,92,385000,"Departamento"
"nGCDNYrSpPqPW3BNOo7VuQ==","Palermo",4,3,140,120,595000,"Departamento"
"RbyAnO8qijcnUJR3iLdGQw==","Belgrano",4,2,98,93,295000,"Departamento"
"tYdJeXSavnMLdksyPZaZeA==","Belgrano",4,2,89,80,250000,"Departamento"
"uL6MUOy3Shh5tGpf0AlLAQ==","Belgrano",4,2,87,83,397000,"Departamento"
"VEbfj+eQTllfgYWDNNpeng==","Belgrano",4,2,89,80,230000,"Departamento"
"j2lg3OksaqREc62/L8lVSQ==","Recoleta",5,2,154,152,550000,"Departamento"
"ERgxLtGMCFjSDS9bh5xJ7A==","Recoleta",5,3,213,213,595000,"Departamento"
"FG/HsX8jrJWyhBX5tSAVQA==","Recoleta",5,2,180,180,620000,"Departamento"
"nsH1ZBoZKm68Bm1cVATQ1w==","Barrio Norte",5,2,154,152,550000,"Departamento"
"bScsjnoe+ZDF7k1V0voojg==","Villa Crespo",4,1,95,95,180000,"Departamento"
"cTA3OlTTeuriSzPrbugJJA==","Villa Crespo",4,2,99,84,225000,"Departamento"
"lGr2paDrpGqxz8+wsnrzvQ==","Villa Crespo",4,2,80,64,185000,"Departamento"
"jvQoRvkfIzMWM0l/PJMt0w==","Villa Crespo",4,2,78,70,184000,"Departamento"
"Wc+1vooA0feDHzJCkoJfSg==","Parque Centenario",4,2,136,121,340000,"Departamento"
"lS2O9YaGk6f8HzBw1YRp0w==","Palermo",5,3,160,160,375000,"PH"
"rkfLivp73L3Yz7D9pjMPxw==","Chacarita",5,1,158,158,290000,"PH"
"HI0V8KU7MYwq2P3rODp8jw==","Villa General Mitre",5,4,200,175,310000,"PH"
"gG5mw4DmJ3JMj0sFRNGjjw==","Barracas",5,3,144,133,360000,"Departamento"
"y6P25KendFvrCClhJNrefg==","Belgrano",5,3,210,210,770000,"Departamento"
"AXTJbPe/IDgsIUzhSxRQ4w==","Las Cañitas",5,3,175,133,450000,"Departamento"
"0KgMtx1uy1TkG5tFnznZ1g==","Villa Crespo",5,3,185,163,399000,"Departamento"
"lKLgocEUgIguuHdKa8F5Ag==","Once",5,1,143,143,170000,"PH"
"lGVhWCr0dxEU/6R1dviYXw==","Almagro",3,1,54,54,127000,"PH"
"Q2Us3abNw7uVdDFm27e81Q==","Almagro",3,1,142,78,175000,"PH"
"b3no2zrlovfCYRxuN/cIKA==","Almagro",6,3,219,214,297000,"PH"
"3h5ziVnzg+Gfz+xaX/iSxA==","Floresta",2,1,58,58,92000,"PH"
"pzffLWW3p1vez99GtDnN7A==","Recoleta",4,2,105,95,239000,"PH"
"NU/R2wbEpT+zXThKdBIcwQ==","Saavedra",3,1,107,65,209000,"PH"
"Gfo7/ntsSuDcgJIV25NWmQ==","Caballito",4,1,135,97,332000,"PH"
"zdntg90cV3+/5n1HoVDz1A==","Agronomía",3,1,75,57,133000,"PH"
"nRjvULz3IIbzHPY6hBUAWw==","Villa Devoto",5,3,197,149,479000,"PH"
"mDYvtq574mtYfZVDkqF5pg==","Villa Devoto",3,2,180,110,165000,"PH"
"e3aR1wsS3ld95gvEeKDOFg==","Villa Ortuzar",6,3,210,150,365000,"PH"
"637M+fj3vzkxXld+9lIgqg==","Parque Patricios",3,2,244,163,240000,"PH"
